,date,open,high,low,close,volume
0,2016-12-22,13.8093,13.9993,13.7667,13.91,40609665.0
1,2016-12-23,13.8667,14.2667,13.8473,14.2533,57488535.0
2,2016-12-27,14.2033,14.8167,14.1867,14.6533,76603605.0
3,2016-12-28,14.6667,14.92,14.48,14.616,48715005.0
4,2016-12-29,14.65,14.6667,14.2747,14.3107,53864715.0
5,2016-12-30,14.338,14.5,14.112,14.236,61296165.0
6,2017-01-03,14.2507,14.6887,13.8,14.1893,76751040.0
7,2017-01-04,14.2,15.2,14.0747,15.1067,148240920.0
8,2017-01-05,14.9253,15.1653,14.7967,15.13,48295200.0
9,2017-01-06,15.1167,15.354,15.03,15.264,72480600.0
